中央频道,#genre#
CCTV1,http://116.117.105.247:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV1,http://116.117.106.42:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV1,http://116.117.104.39:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV1,http://116.117.104.242:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV1,http://116.117.105.183:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV1,http://116.117.106.240:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV1,http://116.117.106.74:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV2,http://116.117.105.247:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV2,http://116.117.106.42:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV2,http://116.117.104.39:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV2,http://116.117.104.242:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV2,http://116.117.105.183:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV2,http://116.117.106.240:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV2,http://116.117.106.74:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV3,http://116.117.105.247:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV3,http://116.117.106.42:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV3,http://116.117.104.39:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV3,http://116.117.104.242:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV3,http://116.117.105.183:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV3,http://116.117.106.240:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV3,http://116.117.106.74:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV4,http://116.117.105.247:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV4,http://116.117.106.42:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV4,http://116.117.104.39:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV4,http://116.117.104.242:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV4,http://116.117.105.183:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV4,http://116.117.106.240:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV4,http://116.117.106.74:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV5,http://116.117.105.247:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV5,http://116.117.106.42:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV5,http://116.117.104.39:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV5,http://116.117.104.242:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV5,http://116.117.105.183:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV5,http://116.117.106.240:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV5,http://116.117.106.74:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV6,http://116.117.105.247:8096/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
