央视频道,#genre#
CCTV1,http://175.173.198.22:9020/udp/232.0.0.27:1234,1.35
CCTV1,http://60.2.190.206:4000/udp/239.253.92.83:8012,1.02
CCTV1,http://60.10.106.114:555/udp/239.253.92.83:8012,1.02
CCTV1,http://101.20.43.127:555/udp/239.253.92.83:8012,1.02
CCTV1,http://175.146.122.104:8888/udp/232.0.0.27:1234,1.02
CCTV1,http://111.196.135.75:8686/udp/239.3.1.129:8008,1.02
CCTV1,http://114.252.238.87:8000/udp/239.3.1.129:8008,1.02
CCTV1,http://221.222.162.206:8888/udp/239.3.1.129:8008,1.01
CCTV1,http://111.199.234.10:18888/udp/239.3.1.129:8008,0.97
CCTV1,http://114.254.85.102:8888/udp/239.3.1.129:8008,0.96
CCTV1,http://114.243.102.150:8888/udp/239.3.1.129:8008,0.95
CCTV1,http://123.113.249.203:8888/udp/239.3.1.129:8008,0.94
CCTV1,http://123.118.159.0:8686/udp/239.3.1.129:8008,0.94
CCTV1,http://111.196.12.108:7088/udp/239.3.1.129:8008,0.92
CCTV1,http://123.113.187.204:8000/udp/239.3.1.129:8008,0.92
CCTV1,http://111.196.129.152:20000/udp/239.3.1.129:8008,0.91
CCTV1,http://123.113.189.90:8001/udp/239.3.1.129:8008,0.9
CCTV1,http://114.244.237.230:7088/udp/239.3.1.129:8008,0.9
CCTV1,http://175.173.198.22:9010/udp/232.0.0.27:1234,0.86
CCTV1,http://221.221.162.225:8888/udp/239.3.1.129:8008,0.86
CCTV1,http://222.129.139.229:8888/udp/239.3.1.129:8008,0.86
CCTV1,http://114.252.235.176:8000/udp/239.3.1.129:8008,0.84
CCTV1,http://114.244.233.134:7088/udp/239.3.1.129:8008,0.8
CCTV1,http://175.173.198.22:9009/udp/232.0.0.27:1234,0.76
CCTV1,http://222.128.86.76:8133/udp/239.3.1.129:8008,0.76
CCTV1,http://114.254.93.146:2222/udp/239.3.1.129:8008,0.75
CCTV1,http://114.243.98.12:8888/udp/239.3.1.129:8008,0.7
