央视频道,#genre#:
CCTV1,http://114.246.180.128:4022/rtp/239.3.1.129:8008,0.96
CCTV1,http://114.243.156.93:8888/rtp/239.3.1.129:8008,0.96
CCTV1,http://114.243.104.126:8888/rtp/239.3.1.129:8008,0.96
CCTV1,http://114.252.231.80:8000/rtp/239.3.1.129:8008,0.96
CCTV1,http://123.113.14.115:8012/rtp/239.3.1.129:8008,0.96
CCTV1,http://123.117.36.74:4001/rtp/239.3.1.129:8008,0.95
CCTV1,http://111.199.232.88:18888/rtp/239.3.1.129:8008,0.95
CCTV1,http://114.240.43.235:8012/rtp/239.3.1.129:8008,0.95
CCTV1,http://221.217.54.246:8686/rtp/239.3.1.129:8008,0.95
CCTV1,http://60.220.167.37:8085/rtp/226.0.2.153:9136,0.95
CCTV1,http://60.220.167.43:8085/rtp/226.0.2.16:8040,0.95
CCTV1,http://60.220.167.43:8085/rtp/226.0.2.153:9136,0.95
CCTV1,http://211.90.88.212:8085/rtp/226.0.2.16:8040,0.94
CCTV1,http://211.90.88.212:8085/rtp/226.0.2.153:9136,0.94
CCTV1,http://183.187.89.66:8888/rtp/226.0.2.16:8040,0.93
CCTV1,http://60.220.167.37:8085/rtp/226.0.2.16:8040,0.93
CCTV1,http://123.113.237.160:8888/rtp/239.3.1.129:8008,0.92
CCTV1,http://171.116.226.246:8082/rtp/226.0.2.16:8040,0.92
CCTV1,http://183.187.89.66:8888/rtp/226.0.2.153:9136,0.92
CCTV1,http://123.113.249.203:8888/rtp/239.3.1.129:8008,0.9
CCTV1,http://42.237.181.183:4000/rtp/225.1.4.73:1102,0.87
CCTV1,http://171.116.226.246:8084/rtp/226.0.2.16:8040,0.86
CCTV1,http://115.171.216.91:4000/udp/225.1.8.1:8008,0.54
CCTV2,http://111.199.232.88:18888/rtp/239.3.1.60:8084,0.95
CCTV2,http://221.217.54.246:8686/rtp/239.3.1.60:8084,0.95
CCTV2,http://60.220.167.43:8085/rtp/226.0.2.154:9144,0.95
CCTV2,http://211.90.88.212:8085/rtp/226.0.2.154:9144,0.94
CCTV2,http://60.220.167.37:8085/rtp/226.0.2.154:9144,0.94
CCTV2,http://183.187.89.66:8888/rtp/226.0.2.154:9144,0.93
CCTV2,http://115.171.216.91:4000/udp/225.1.8.2:8084,0.91
CCTV2,http://175.150.152.34:9007/rtp/232.0.0.135:1234,0.91
CCTV2,http://106.120.14.74:2333/udp/225.1.8.2:8084,0.9
CCTV2,http://171.116.226.246:8082/rtp/226.0.2.154:9144,0.87
CCTV2,http://171.116.226.246:8084/rtp/226.0.2.154:9144,0.87
CCTV2,http://42.237.181.183:4000/rtp/225.1.4.74:1103,0.86
CCTV2,http://123.113.237.160:8888/rtp/239.3.1.60:8084,0.85
CCTV3,http://114.254.80.240:2222/rtp/239.3.1.172:8001,0.95
CCTV3,http://114.243.104.126:8888/rtp/239.3.1.172:8001,0.95
CCTV3,http://123.113.14.115:8012/rtp/239.3.1.172:8001,0.95
CCTV3,http://114.246.180.128:4022/rtp/239.3.1.172:8001,0.94
CCTV3,http://171.116.226.246:8082/rtp/226.0.2.208:9576,0.94
CCTV3,http://111.199.232.88:18888/rtp/239.3.1.172:8001,0.94
CCTV3,http://114.240.43.235:8012/rtp/239.3.1.172:8001,0.94
CCTV3,http://183.187.89.66:8888/rtp/226.0.2.208:9576,0.94
CCTV3,http://175.150.152.34:9007/rtp/232.0.0.170:1234,0.94
CCTV3,http://211.90.88.212:8085/rtp/226.0.2.208:9576,0.94
CCTV3,http://123.113.237.160:8888/rtp/239.3.1.172:8001,0.93
CCTV3,http://221.217.54.246:8686/rtp/239.3.1.172:8001,0.93
CCTV3,http://171.116.226.246:8084/rtp/226.0.2.208:9576,0.87
CCTV4,http://221.217.54.246:8686/rtp/239.3.1.105:8092,0.95
CCTV4,http://123.113.14.115:8012/rtp/239.3.1.105:8092,0.95
CCTV4,http://42.237.181.199:4000/rtp/225.1.5.30:1333,0.95
CCTV4,http://183.187.89.66:8888/rtp/226.0.2.156:9160,0.93
CCTV4,http://171.120.110.84:8085/rtp/226.0.2.156:9160,0.89
CCTV4,http://115.171.216.91:4000/udp/225.1.8.4:8092,0.88
CCTV4,http://175.150.152.34:9005/rtp/232.0.0.201:1234,0.88
CCTV4,http://42.237.181.183:4000/rtp/225.1.5.30:1333,0.87
CCTV4,http://123.113.236.69:8012/rtp/239.3.1.105:8092,0.81
CCTV4美洲,http://123.113.249.203:8888/rtp/239.3.1.214:4220,0.65
CCTV5,http://221.217.54.246:8686/rtp/239.3.1.173:8001,0.94
CCTV5,http://123.113.14.115:8012/rtp/239.3.1.173:8001,0.94
CCTV5,http://171.116.226.246:8084/rtp/226.0.2.209:9584,0.94
CCTV5,http://211.90.88.212:8085/rtp/226.0.2.209:9584,0.94
CCTV5,http://60.220.167.37:8085/rtp/226.0.2.209:9584,0.94
CCTV5,http://106.120.14.74:2333/udp/225.1.8.89:8000,0.92
CCTV5,http://175.150.152.34:9007/rtp/232.0.0.171:1234,0.88
CCTV5,http://171.116.226.246:8082/rtp/226.0.2.209:9584,0.87
CCTV5,http://171.120.110.84:8085/rtp/226.0.2.209:9584,0.85
CCTV5,http://175.150.152.34:9005/rtp/232.0.0.171:1234,0.84
CCTV5,http://115.171.216.91:4000/udp/225.1.8.89:8000,0.73
CCTV5,http://123.113.237.160:8888/rtp/239.3.1.173:8001,0.58
CCTV5+,http://114.243.104.126:8888/rtp/239.3.1.130:8004,0.95
CCTV5+,http://221.217.54.246:8686/rtp/239.3.1.130:8004,0.95
CCTV5+,http://106.120.14.74:2333/udp/225.1.8.20:8004,0.94
CCTV5+,http://171.116.226.246:8084/rtp/226.0.2.168:9256,0.94
CCTV5+,http://114.243.156.93:8888/rtp/239.3.1.130:8004,0.93
CCTV5+,http://211.90.88.212:8085/rtp/226.0.2.168:9256,0.93
CCTV5+,http://183.187.89.66:8888/rtp/226.0.2.168:9256,0.92
CCTV5+,http://111.199.232.88:18888/rtp/239.3.1.130:8004,0.62
CCTV5+,http://123.113.237.160:8888/rtp/239.3.1.130:8004,0.51
CCTV6,http://60.220.167.43:8085/rtp/226.0.2.210:9592,0.95
CCTV6,http://114.246.180.128:4022/rtp/239.3.1.174:8001,0.94
CCTV6,http://111.199.232.88:18888/rtp/239.3.1.174:8001,0.94
CCTV6,http://171.120.110.84:8085/rtp/226.0.2.210:9592,0.94
CCTV6,http://114.240.43.235:8012/rtp/239.3.1.174:8001,0.94
CCTV6,http://221.217.54.246:8686/rtp/239.3.1.174:8001,0.94
CCTV6,http://60.220.167.37:8085/rtp/226.0.2.210:9592,0.94
CCTV6,http://106.120.14.74:2333/udp/225.1.8.84:8000,0.93
CCTV6,http://124.230.56.126:55555/udp/239.76.246.156:1234,0.93
CCTV6,http://171.116.226.246:8082/rtp/226.0.2.210:9592,0.93
CCTV6,http://114.243.156.93:8888/rtp/239.3.1.174:8001,0.93
CCTV6,http://183.187.89.66:8888/rtp/226.0.2.210:9592,0.93
CCTV6,http://175.150.152.34:9007/rtp/232.0.0.172:1234,0.89
CCTV6,http://42.237.181.183:4000/rtp/225.1.4.160:1196,0.87
CCTV6,http://123.113.237.160:8888/rtp/239.3.1.174:8001,0.59
CCTV6,http://115.171.216.91:4000/udp/225.1.8.84:8000,0.55
CCTV7,http://171.116.226.246:8082/rtp/226.0.2.159:9184,0.95
CCTV7,http://111.199.232.88:18888/rtp/239.3.1.61:8104,0.95
CCTV7,http://114.240.43.235:8012/rtp/239.3.1.61:8104,0.95
CCTV7,http://221.217.54.246:8686/rtp/239.3.1.61:8104,0.95
CCTV7,http://42.237.181.199:4000/rtp/225.1.4.76:1105,0.95
CCTV7,http://60.220.167.43:8085/rtp/226.0.2.159:9184,0.95
CCTV7,http://114.243.156.93:8888/rtp/239.3.1.61:8104,0.94
CCTV7,http://211.90.88.212:8085/rtp/226.0.2.159:9184,0.94
CCTV7,http://60.220.167.37:8085/rtp/226.0.2.159:9184,0.94
CCTV7,http://106.120.14.74:2333/udp/225.1.8.7:8104,0.93
CCTV7,http://114.243.104.126:8888/rtp/239.3.1.61:8104,0.92
CCTV7,http://171.120.110.84:8085/rtp/226.0.2.159:9184,0.91
CCTV7,http://183.187.89.66:8888/rtp/226.0.2.159:9184,0.91
CCTV7,http://123.113.237.160:8888/rtp/239.3.1.61:8104,0.87
CCTV7,http://42.237.181.183:4000/rtp/225.1.4.76:1105,0.87
CCTV7,http://115.171.216.91:4000/udp/225.1.8.7:8104,0.53
CCTV8,http://60.220.167.43:8085/rtp/226.0.2.211:9600,0.95
CCTV8,http://106.120.14.74:2333/udp/225.1.8.85:8000,0.94
CCTV8,http://114.246.180.128:4022/rtp/239.3.1.175:8001,0.94
CCTV8,http://123.113.237.160:8888/rtp/239.3.1.175:8001,0.94
CCTV8,http://171.116.226.246:8082/rtp/226.0.2.211:9600,0.94
CCTV8,http://114.243.156.93:8888/rtp/239.3.1.175:8001,0.94
CCTV8,http://111.199.232.88:18888/rtp/239.3.1.175:8001,0.94
CCTV8,http://114.240.43.235:8012/rtp/239.3.1.175:8001,0.94
CCTV8,http://183.187.89.66:8888/rtp/226.0.2.211:9600,0.94
CCTV8,http://221.217.54.246:8686/rtp/239.3.1.175:8001,0.94
CCTV8,http://60.220.167.37:8085/rtp/226.0.2.211:9600,0.94
CCTV8,http://171.116.226.246:8084/rtp/226.0.2.211:9600,0.93
CCTV8,http://211.90.88.212:8085/rtp/226.0.2.211:9600,0.93
CCTV8,http://42.237.181.183:4000/rtp/225.1.4.161:1197,0.86
CCTV8,http://115.171.216.91:4000/udp/225.1.8.85:8000,0.58
CCTV9,http://111.199.232.88:18888/rtp/239.3.1.62:8112,0.95
CCTV9,http://114.240.43.235:8012/rtp/239.3.1.62:8112,0.95
